,spectral_centroid_mean,spectral_bandwidth_mean,spectral_flatness_mean,spectral_contrast_mean,rms_energy_mean,rms_energy_max,rms_energy_variance,rms_energy_percentile,onset_frames_mean,onset_times_mean,attack_time_mean,modulation_depth_mean,spectral_rolloff_mean,harmonic_mean,delay_presence,spectral_flux_mean,harmonic_distortion_ratio_mean,zero_crossing_rate_mean,stereo_width,mfcc2_mean,chroma_mean,vibrato_depth,reverb_tail_length_mean,dynamic_range,peak_to_rms_ratio_mean
spectral_centroid_mean,1.0,0.7876884098311601,0.7277346020873161,-0.33405170850522176,-0.07966897280784072,-0.07101343281596866,0.09310530991052143,-0.04895856972025256,-0.19326078607948138,-0.19326078607948108,0.004134680629498751,0.7876884098311601,0.9614065580312731,0.02266803011280524,0.00479597219385941,-0.06383299181987404,0.041620792155183155,0.8300468660437218,0.224978772153368,-0.5970924219905287,0.326765599216781,0.037922511130849976,0.9614065580312731,-0.06703522596576614,0.4900605943603442
spectral_bandwidth_mean,0.7876884098311601,1.0,0.6405703801846129,-0.023176370401726373,-0.2572773413455306,-0.07617695881550236,0.1456684492934266,-0.20683724378986804,-0.18058922141433456,-0.1805892214143343,0.0674389362835145,1.0,0.897008255999354,-0.23454300367036204,-0.14245067650327548,-0.11389392531286027,0.20780387131108502,0.37360743721228323,0.06149745382309087,-0.8272440080283179,0.29935292292233845,0.2072068456578879,0.897008255999354,0.017230413066028016,0.4518676966446488
spectral_flatness_mean,0.7277346020873161,0.6405703801846129,1.0,-0.2800749963134043,-0.22886439657467406,-0.11083001908255667,0.09555960108301538,-0.1853080614368731,-0.3081912666843218,-0.3081912666843216,-0.0019679485276877435,0.6405703801846129,0.7470656958790047,-0.21394077346933382,-0.13251555918143718,-0.2995808915614348,-0.037217679187000544,0.6816199292497592,0.147122711452301,-0.5126925473401152,0.19316767301823864,0.005475304580246478,0.7470656958790047,-0.048693720273430094,0.6069769674491262
spectral_contrast_mean,-0.33405170850522176,-0.023176370401726373,-0.2800749963134043,1.0,-0.08245690390086598,0.004076081723939022,-0.06783997390719483,-0.09130196391565727,0.13382206892932422,0.13382206892932416,0.09683330396856128,-0.023176370401726445,-0.2736098645878628,-0.14422505852062523,-0.055387428002390646,0.24715673500456534,0.44915254332726123,-0.40406903850565223,-0.025049049686548898,-0.12085418938599504,-0.5319313297629249,0.2515071795796147,-0.2736098645878628,0.055138114203438116,-0.11288228441569403
rms_energy_mean,-0.07966897280784072,-0.2572773413455306,-0.22886439657467406,-0.08245690390086598,1.0,0.8121485764462729,0.2768773551728433,0.9667346853682308,0.1257339190585852,0.12573391905858594,-0.08963941489414519,-0.25727734134553065,-0.11494403154300907,0.9588040235249862,0.9464873142782366,0.18608689764686287,-0.1535531975240573,0.016879896745915356,-0.06969183562488625,0.3828804556297006,0.0001706277268098297,-0.259518170471871,-0.11494403154300907,0.5772111943201242,-0.14581109703046005
rms_energy_max,-0.07101343281596866,-0.07617695881550236,-0.11083001908255667,0.004076081723939022,0.8121485764462729,1.0,0.5415187281161885,0.8412538645887369,0.03189029631729613,0.03189029631729658,-0.01236000706369005,-0.07617695881550234,-0.045753237043866,0.6781259994528933,0.7839969123717425,0.09809086683491774,0.009336959267538969,-0.07734994499847951,-0.14181876912295785,0.0335086721113614,0.021715440123509944,0.017310469107091643,-0.045753237043866,0.9144975856378005,-0.1673980054317576
rms_energy_variance,0.09310530991052143,0.1456684492934266,0.09555960108301538,-0.06783997390719483,0.2768773551728433,0.5415187281161885,1.0,0.48719711635739293,0.029817004128002582,0.029817004128003196,0.08155498078570535,0.1456684492934265,0.1204103857992651,0.15827250107408478,0.3394132220547986,-0.08984307371426058,0.07396479720389418,0.023847351259288465,-0.04768951590944143,-0.2826648232948091,-0.03423890768641185,0.3176292819929089,0.1204103857992651,0.7121622520639257,-0.0698362296879048
rms_energy_percentile,-0.04895856972025256,-0.20683724378986804,-0.1853080614368731,-0.09130196391565727,0.9667346853682308,0.8412538645887369,0.48719711635739293,1.0,0.120405729750851,0.12040572975085193,-0.06320951709371718,-0.20683724378986804,-0.07956755421676659,0.9106089421678668,0.9318466682758261,0.13168145292049083,-0.12544245980680688,0.03524867398666735,-0.06748261619502188,0.2921050497984374,-0.02362237573956167,-0.15304319104520683,-0.07956755421676659,0.6684063952433782,-0.1599642417083068
onset_frames_mean,-0.19326078607948138,-0.18058922141433456,-0.3081912666843218,0.13382206892932422,0.1257339190585852,0.03189029631729613,0.029817004128002582,0.120405729750851,1.0,1.0000000000000004,0.13645709053136323,-0.18058922141433448,-0.20227141329235374,0.12081610267090269,0.10427707337634937,0.21050199331620095,-0.06041898189689949,-0.1958876258652841,-0.04029466523639846,0.17552755518880625,-0.10544428032166628,0.006492424292499839,-0.20227141329235374,-0.021483200479849664,-0.01782995665363743
onset_times_mean,-0.19326078607948108,-0.1805892214143343,-0.3081912666843216,0.13382206892932416,0.12573391905858594,0.03189029631729658,0.029817004128003196,0.12040572975085193,1.0000000000000004,1.0,0.13645709053136318,-0.18058922141433434,-0.2022714132923537,0.12081610267090354,0.10427707337635,0.21050199331620129,-0.06041898189689942,-0.19588762586528388,-0.04029466523639839,0.17552755518880656,-0.1054442803216659,0.006492424292499991,-0.2022714132923537,-0.02148320047984918,-0.017829956653637367
