clip_name,spectral_centroid_mean,spectral_bandwidth_mean,spectral_flatness_mean,spectral_contrast_mean,rms_energy_mean,rms_energy_max,rms_energy_variance,rms_energy_percentile,onset_frames_mean,onset_times_mean,attack_time_mean,modulation_depth_mean,spectral_rolloff_mean,harmonic_mean,delay_presence,spectral_flux_mean,harmonic_distortion_ratio_mean,zero_crossing_rate_mean,stereo_width,mfcc2_mean,chroma_mean,vibrato_depth,reverb_tail_length_mean,dynamic_range,peak_to_rms_ratio_mean,Cluster
American_Idiot_guitar.mp3_1,2694.2550539592157,2400.0698622462464,0.0077459747,18.677807674705694,0.059501797,0.15306285,0.0016046939,0.087921046,726.0204081632653,8.429080475727705,0.016938775510204,2400.0698622462464,5335.701069078948,32.407284,3406.986,0.71168786,1.7317578,0.0951154490373452,0.017031306,180.87984,0.5346887,4.3081594,5335.701069078948,0.15304099,21612.78859031473,0
American_Idiot_guitar.mp3_2,2202.111549818499,1810.231430757279,0.0026985377,19.262584469273317,0.07682608,0.13091722,0.0010897751,0.09464008,644.6545454545454,7.484424654710369,0.0281405895691609,1810.231430757279,4063.725427208301,41.793488,4629.2417,0.81892276,1.9347078,0.0791506929663312,0.04535747,219.80408,0.4794074,3.300894,4063.725427208301,0.13089092,16791.17122049983,27
American_Idiot_guitar.mp3_3,2156.144792102794,1660.2103951925494,0.0024036432,19.24698246101399,0.08465354,0.1250764,0.0007361001,0.09866334,670.5593220338983,7.785178523386756,0.0022675736961451,1660.2103951925494,3968.659335393286,46.622833,5230.9814,0.8619593,1.5626849,0.0810630018866099,0.25111255,235.13867,0.50524616,2.3079813,3968.659335393286,0.12505218,15214.955743646347,5
American_Idiot_guitar.mp3_4,2026.40431184387,1480.8890214852547,8.65438e-06,19.528845393234075,0.10166844,0.14912923,0.00027291966,0.11364523,659.15625,7.652789115646259,0.0036507936507936,1480.8890214852547,3651.477920012577,57.700897,7022.9585,0.92211103,1.6180595,0.0800890848732585,0.2868778,244.85243,0.5075739,1.5292189,3651.477920012577,0.09155255,12678.46647400047,5
American_Idiot_guitar.mp3_5,2939.7679024203862,2727.1799682016585,0.008313241,18.46280665403405,0.050807346,0.11942574,0.0016615874,0.08351275,614.425,7.133460317460317,0.0056916099773242,2727.1799682016585,6006.063682154605,26.58475,2808.5293,0.6442941,1.7777258,0.0900175962654798,0.35935304,162.80829,0.52742225,5.66803,6006.063682154605,0.1194012,22929.750189463703,0
American_Idiot_guitar.mp3_6,1884.6093060364335,1582.1861058250067,0.0013054309,19.558070977129518,0.05775865,0.115646556,0.0008142349,0.07332124,583.484375,6.774240362811792,0.0259410430839002,1582.1861058250067,3424.7626242622878,26.666937,2750.8948,0.79963726,2.427172,0.0670959661619582,0.041692816,217.2483,0.39581072,3.9713275,3424.7626242622878,0.115616195,22334.312055624207,27
angry_guitar.mp3_1,1735.891660464314,1401.7242044246425,9.335316e-06,19.64011014783565,0.084333144,0.13649058,0.00026575555,0.095165126,631.3285714285714,7.3297103984450915,0.0043310657596371,1401.7242044246425,3067.398118529896,41.38676,4884.013,0.87235737,1.9830303,0.063808004184404,0.0027943726,241.32768,0.4500613,2.1220043,3067.398118529896,0.09821647,15225.329256178373,9
angry_guitar.mp3_2,3678.576285220383,3495.262507484626,0.025793293,18.3451869939141,0.033949804,0.13866307,0.0021850513,0.08674647,574.8888888888889,6.674446963970773,0.0056916099773242,3495.262507484626,7572.837541420762,17.22092,2209.5327,0.44180265,2.5344896,0.1220895867598684,0.07367459,92.77224,0.49598137,4.918259,7572.837541420762,0.1386435,37084.14934688008,23
angry_guitar.mp3_3,1994.0531216012173,1574.827361050343,1.3182595e-05,21.50805616900089,0.1666766,0.2616618,0.0017807467,0.2013643,523.6052631578947,6.079045232127939,0.007641723356009,1574.827361050343,3604.844868662926,78.15392,19567.996,0.939742,7.5869193,0.0684221108262383,0.015468463,204.69601,0.35793033,3.0400586,3604.844868662926,0.22273698,7709.540016081566,18
angry_guitar.mp3_4,1946.5948149764863,1489.2219116888948,8.550474e-06,20.13150566444,0.15799318,0.25008577,0.000757537,0.17636915,663.2592592592592,7.7004249601075,0.0002947845804988,1489.2219116888948,3452.462456765189,86.39651,17025.416,0.85857755,2.0548122,0.0732712878531346,0.34021473,228.94597,0.38001868,1.3980998,3452.462456765189,0.14957176,8133.261563233065,18
angry_guitar.mp3_5,1851.667578206897,1524.3823629447368,0.0009978985,19.693177223578207,0.08787126,0.14656417,0.00071957725,0.10420472,633.8461538461538,7.358939473225187,0.0013151927437641,1524.3823629447368,3313.11329939048,43.43317,5587.7793,0.87950546,2.1801047,0.0680974718217879,0.57845515,231.21295,0.4643081,3.4222798,3313.11329939048,0.14652672,14680.566510670533,5
angry_guitar.mp3_6,3607.01558799509,3410.198948590536,0.02499095,18.421359483625668,0.033387773,0.13824786,0.0022102885,0.0864503,481.10526315789474,5.585621195846759,0.0053514739229024,3410.198948590536,7323.289050406347,16.982962,2200.4768,0.4560066,3.2318645,0.1210438636803405,0.014279332,92.37368,0.48435375,4.920699,7323.289050406347,0.13822798,37079.4301041064,23
Back_In_The_USA_guitar.mp3_1,1558.9731733260382,1297.47878260623,3.9023103e-06,19.714459713635964,0.09868951,0.18802728,0.00028543785,0.108572684,651.9173553719008,7.568745713161298,0.0137868480725623,1297.47878260623,2890.5658544770704,47.831547,6636.8594,0.8586197,1.8079287,0.0558027615857198,0.2391369,252.61285,0.5530447,1.7010669,2890.5658544770704,0.1448142,13061.16409091036,2
Back_In_The_USA_guitar.mp3_2,1818.6583558921377,1387.0961532173783,9.200078e-06,19.31384946015966,0.12311814,0.1907173,0.00043786556,0.13378273,655.2388059701492,7.607307679290622,0.0249206349206349,1387.0961532173783,3177.9307834873257,66.92799,10326.049,0.8847981,1.727936,0.0705339650251548,0.37531656,247.37541,0.56042564,2.1145043,3177.9307834873257,0.18683495,10477.740518128145,2
Back_In_The_USA_guitar.mp3_3,1383.4282827368622,1213.424709995158,6.3944126e-06,19.675220290562123,0.108324744,0.16452356,0.000595534,0.12750034,694.1866666666666,8.059491458805745,0.0268707482993197,1213.424709995158,2537.934653456366,47.586555,8165.395,0.91040397,3.103113,0.0473322912635448,0.18257643,250.44862,0.5661428,4.512515,2537.934653456366,0.11923982,11908.635699783934,2
Back_In_The_USA_guitar.mp3_4,1976.9589872930696,3282.1580938638194,0.0007268934,18.68586499075096,0.014238555,0.17465977,0.0014903819,0.0054854127,605.5531914893617,7.030458821826604,0.0269614512471655,3282.1580938638194,4303.240645559211,6.6385026,1125.8011,0.42768103,4.509125,0.0198808321642801,0.011275478,62.07832,0.5192039,3.851965,4303.240645559211,0.17459261,90599.016071054,12
Back_In_The_USA_guitar.mp3_5,1623.4439505756466,1322.8582530083736,6.5263466e-06,20.010439975380883,0.0936249,0.12669206,0.00017272487,0.10326085,662.3545454545455,7.689921253349826,0.0001814058956916,1322.8582530083736,2947.7821751644738,47.093174,5915.956,0.87040496,1.85791,0.0587067500725619,0.0020965848,253.69756,0.5343606,1.6945137,2947.7821751644738,0.077319615,13714.299666356892,9
Back_In_The_USA_guitar.mp3_6,1367.4849837554953,1267.0481840981456,8.224984e-06,20.064516199800305,0.095836036,0.18706976,0.0004660638,0.106656946,629.875,7.31283446712018,0.0051473922902494,1267.0481840981456,2566.5344805171244,39.569344,6387.912,0.92685246,2.6347156,0.0448338180872678,0.16673885,235.25822,0.5361674,5.114825,2566.5344805171244,0.14052376,13230.93019674574,5
Basket_Case_guitar.mp3_1,1928.85256020891,1482.8284198279405,3.5844205e-05,19.60339148670348,0.090517856,0.13106193,0.00017061524,0.09866307,680.9615384615385,7.905948020233733,0.02718820861678,1482.8284198279405,3521.862037115422,48.32906,5536.161,0.9234324,5.000159,0.073386177559017,0.021270813,235.31337,0.5231146,2.4568944,3521.862037115422,0.088975,14140.855171024165,27
Basket_Case_guitar.mp3_2,2070.7797995189217,1590.530233042207,0.0014699334,19.708619274549232,0.08567287,0.1172404,0.0005076473,0.09727549,649.9545454545455,7.545957534528964,0.0016326530612244,1590.530233042207,3781.110469475619,47.538284,5193.961,0.899069,4.543053,0.0784851641108746,0.17430688,232.6222,0.49241862,2.2015564,3781.110469475619,0.11721227,14987.240233279608,5
