,spectral_centroid_mean,spectral_bandwidth_mean,spectral_flatness_mean,spectral_contrast_mean,rms_energy_mean,rms_energy_max,rms_energy_variance,rms_energy_percentile,onset_frames_mean,onset_times_mean,attack_time_mean,modulation_depth_mean,spectral_rolloff_mean,harmonic_mean,delay_presence,spectral_flux_mean,harmonic_distortion_ratio_mean,zero_crossing_rate_mean,stereo_width,mfcc2_mean,chroma_mean,vibrato_depth,reverb_tail_length_mean,dynamic_range,peak_to_rms_ratio_mean
spectral_centroid_mean,1.0,0.5413499851454088,0.12185466923728241,-0.06851750411940341,0.23904868602581608,0.1264586096974085,0.04585433993910019,0.2518258371443088,0.03365420227236369,0.03365420227236473,-0.057190765896409486,0.5413499851454088,0.9223312502840686,0.4190649224093297,0.1973686913123882,0.042162536951171524,0.038985634226978844,0.7832055393509713,0.08131966919887033,-0.3026369656386422,0.18377101247474337,-0.1720433458384054,0.9223312502840686,0.05818084351503657,-0.2838840739596582
spectral_bandwidth_mean,0.5413499851454088,1.0,0.2204694220630035,0.42348375611057143,-0.009575711498980453,0.16659686194708806,0.17370906588570856,0.027812818366766263,0.021083097171630857,0.021083097171631558,0.02649180754426786,1.0,0.774617099538106,-0.011341597010553794,-0.002834178036985942,0.0802860743608854,0.21860350884143934,-0.059161344131034375,0.008278176352733629,-0.7810850109938027,0.07644584380884288,0.20284402294674594,0.774617099538106,0.17875847579323864,-0.003487616166634653
spectral_flatness_mean,0.12185466923728241,0.2204694220630035,1.0,-0.05153866594003986,-0.13770397658569467,0.005779149962916692,0.2401235698909796,-0.07451171811598438,-0.1134920551753916,-0.11349205517539186,0.10344739069120903,0.22046942206300346,0.17816952683265933,-0.1583701312633359,-0.10411004466713104,-0.1627676336017416,0.14463789961065257,0.0028151899199599325,0.011697526505353318,-0.2999383201559673,-0.009802093646940105,0.07711305797892139,0.17816952683265933,0.10433185988727754,0.08552472126623856
spectral_contrast_mean,-0.06851750411940341,0.42348375611057143,-0.05153866594003986,1.0,-0.19343711983169096,-0.08472403291891145,-0.024071196449590833,-0.17783057166633215,0.03907183746410264,0.03907183746410278,0.009584350210209784,0.4234837561105712,0.06736247335306468,-0.23802895304511223,-0.13669515290358342,-0.032062507005470364,0.19358090752036486,-0.29317742048951484,-0.05926710594740807,-0.4461859595553416,-0.5080264910281034,0.22116110722469937,0.06736247335306468,-0.03198358669764493,0.2618749157218587
rms_energy_mean,0.23904868602581608,-0.009575711498980453,-0.13770397658569467,-0.19343711983169096,1.0,0.7818993442204862,0.29537400723734464,0.9756240289965238,0.08966756145010264,0.08966756145010367,-0.11185130942319794,-0.009575711498980469,0.21348807408353007,0.9450476177264377,0.9654784367872078,-0.09769153208441275,-0.18908744103093023,0.2172266177933004,0.03910518848179003,0.1812039832358926,0.06426610650080891,-0.30641106120232964,0.21348807408353007,0.5399415295856554,-0.8216452796331458
rms_energy_max,0.1264586096974085,0.16659686194708806,0.005779149962916692,-0.08472403291891145,0.7818993442204862,1.0,0.6242664682877408,0.8166167228570915,0.054706249501260726,0.054706249501261565,-0.020468390327299163,0.16659686194708806,0.1976622437769368,0.6354123424485872,0.7828332291527108,-0.09810034805525586,-0.08212977243463904,-0.03284532175733496,0.003215722956711458,-0.21506690238095527,0.02036947895577148,-0.07481012479873252,0.1976622437769368,0.900970290520289,-0.651708766251275
rms_energy_variance,0.04585433993910019,0.17370906588570856,0.2401235698909796,-0.024071196449590833,0.29537400723734464,0.6242664682877408,1.0,0.46770901603108966,0.11276142457740541,0.11276142457740601,0.07289003684632028,0.17370906588570856,0.11171277520836081,0.16194201705450836,0.36613923503340084,-0.09116975633824645,0.07877305089848688,-0.09921268722537172,-0.018230371144874215,-0.42259770789769635,-0.15200530314217972,0.1741779353677739,0.11171277520836081,0.7938677442209532,-0.2691652339358628
rms_energy_percentile,0.2518258371443088,0.027812818366766263,-0.07451171811598438,-0.17783057166633215,0.9756240289965238,0.8166167228570915,0.46770901603108966,1.0,0.0966990626126906,0.09669906261269176,-0.09577792935026715,0.02781281836676628,0.23180505089211217,0.9083169430731283,0.9590030100356898,-0.10845477678907404,-0.14669893220293162,0.20761175234546383,0.028935256000921047,0.08405184652612868,0.013357519115189584,-0.24443861514442122,0.23180505089211217,0.6323280705390797,-0.8105085909300793
onset_frames_mean,0.03365420227236369,0.021083097171630857,-0.1134920551753916,0.03907183746410264,0.08966756145010264,0.054706249501260726,0.11276142457740541,0.0966990626126906,1.0,0.9999999999999996,0.11080472892094044,0.021083097171630875,0.027195613600202794,0.09710283205444067,0.09481375810567223,-0.039821930322215954,-0.07675354150084786,0.01729363912177605,-0.013021083251372996,-0.026263667404911213,-0.07084150118034342,-0.024744443019328245,0.027195613600202794,0.041614849855097225,-0.06897610350275088
onset_times_mean,0.03365420227236473,0.021083097171631558,-0.11349205517539186,0.03907183746410278,0.08966756145010367,0.054706249501261565,0.11276142457740601,0.09669906261269176,0.9999999999999996,1.0,0.11080472892094077,0.021083097171631513,0.027195613600203727,0.09710283205444177,0.09481375810567305,-0.03982193032221504,-0.0767535415008477,0.017293639121776665,-0.013021083251372766,-0.026263667404911543,-0.07084150118034259,-0.024744443019327357,0.027195613600203727,0.04161484985509807,-0.06897610350275198
attack_time_mean,-0.057190765896409486,0.02649180754426786,0.10344739069120903,0.009584350210209784,-0.11185130942319794,-0.020468390327299163,0.07289003684632028,-0.09577792935026715,0.11080472892094044,0.11080472892094077,1.0,0.02649180754426782,-0.01687814996290949,-0.1210735343598038,-0.12392897241611343,-0.0016609347741033775,0.0927515396282161,-0.07906346184749355,0.011368050943932676,-0.061995728615945885,-0.02774937995322415,0.044146633238056586,-0.01687814996290949,0.0209541089466548,0.035586571101224665
modulation_depth_mean,0.5413499851454088,1.0,0.22046942206300346,0.4234837561105712,-0.009575711498980469,0.16659686194708806,0.17370906588570856,0.02781281836676628,0.021083097171630875,0.021083097171631513,0.02649180754426782,1.0,0.774617099538106,-0.011341597010553794,-0.002834178036985942,0.0802860743608854,0.21860350884143934,-0.059161344131034375,0.008278176352733629,-0.7810850109938027,0.07644584380884288,0.20284402294674594,0.774617099538106,0.17875847579323864,-0.003487616166634653
spectral_rolloff_mean,0.9223312502840686,0.774617099538106,0.17816952683265933,0.06736247335306468,0.21348807408353007,0.1976622437769368,0.11171277520836081,0.23180505089211217,0.027195613600202794,0.027195613600203727,-0.01687814996290949,0.774617099538106,1.0,0.3305030298803413,0.17935975507300433,0.008262966408629254,0.05852430045609785,0.5027414147541889,0.06356753893992818,-0.492312261310554,0.19700429867837588,-0.09814830870937116,1.0,0.14168522822054797,-0.25475623426002064
harmonic_mean,0.4190649224093297,-0.011341597010553794,-0.1583701312633359,-0.23802895304511223,0.9450476177264377,0.6354123424485872,0.16194201705450836,0.9083169430731283,0.09710283205444067,0.09710283205444177,-0.1210735343598038,-0.011341597010553794,0.3305030298803413,1.0,0.9024272547971425,-0.1711592961138423,-0.20075961984577279,0.45003394642511974,0.054348357509754065,0.26533515529932855,0.08376601688464523,-0.44154395438647004,0.33050302988034125,0.37567210674980617,-0.772645967857694
delay_presence,0.1973686913123882,-0.002834178036985942,-0.10411004466713104,-0.13669515290358342,0.9654784367872078,0.7828332291527108,0.36613923503340084,0.9590030100356898,0.09481375810567223,0.09481375810567305,-0.12392897241611343,-0.002834178036985942,0.17935975507300433,0.9024272547971425,1.0,-0.10737924461260803,-0.1410174347795847,0.17057946340249977,0.046750362445209796,0.10898618397220053,-0.056461244084733415,-0.2740091415187323,0.17935975507300433,0.5651238824493918,-0.6882996323170909
spectral_flux_mean,0.042162536951171524,0.0802860743608854,-0.1627676336017416,-0.032062507005470364,-0.09769153208441275,-0.09810034805525586,-0.09116975633824645,-0.10845477678907404,-0.039821930322215954,-0.03982193032221504,-0.0016609347741033775,0.0802860743608854,0.008262966408629254,-0.1711592961138423,-0.10737924461260803,1.0,0.11306678950408171,0.01710136408664914,-0.05575747669370494,-0.09715283010822365,0.23640267913025392,0.6709628042132025,0.008262966408629245,-0.08058041206306255,0.0510529755533132
harmonic_distortion_ratio_mean,0.038985634226978844,0.21860350884143934,0.14463789961065257,0.19358090752036486,-0.18908744103093023,-0.08212977243463904,0.07877305089848688,-0.14669893220293162,-0.07675354150084786,-0.0767535415008477,0.0927515396282161,0.21860350884143934,0.05852430045609785,-0.20075961984577279,-0.1410174347795847,0.11306678950408171,1.0,-0.07838800023977846,0.04973738409175702,-0.3288224777746046,-0.1771030126999553,0.1502360937921062,0.05852430045609788,-0.04364115062349104,0.21525003000668158
zero_crossing_rate_mean,0.7832055393509713,-0.059161344131034375,0.0028151899199599325,-0.29317742048951484,0.2172266177933004,-0.03284532175733496,-0.09921268722537172,0.20761175234546383,0.01729363912177605,0.017293639121776665,-0.07906346184749355,-0.059161344131034375,0.5027414147541889,0.45003394642511974,0.17057946340249977,0.01710136408664914,-0.07838800023977846,1.0,0.08033659943415727,0.1799785046016658,0.14395994534142165,-0.28500033552258275,0.5027414147541888,-0.10580550621367558,-0.25815332636491145
stereo_width,0.08131966919887033,0.008278176352733629,0.011697526505353318,-0.05926710594740807,0.03910518848179003,0.003215722956711458,-0.018230371144874215,0.028935256000921047,-0.013021083251372996,-0.013021083251372766,0.011368050943932676,0.008278176352733629,0.06356753893992818,0.054348357509754065,0.046750362445209796,-0.05575747669370494,0.04973738409175702,0.08033659943415727,1.0,0.025963676520342666,-0.011403564230691249,-0.11914388396109851,0.06356753893992816,-0.044835424854061924,-0.00568917586362023
mfcc2_mean,-0.3026369656386422,-0.7810850109938027,-0.2999383201559673,-0.4461859595553416,0.1812039832358926,-0.21506690238095527,-0.42259770789769635,0.08405184652612868,-0.026263667404911213,-0.026263667404911543,-0.061995728615945885,-0.7810850109938027,-0.492312261310554,0.26533515529932855,0.10898618397220053,-0.09715283010822365,-0.3288224777746046,0.1799785046016658,0.025963676520342666,1.0,0.10537772372613685,-0.3479893953820313,-0.492312261310554,-0.34360803658168027,-0.19993688683658775
chroma_mean,0.18377101247474337,0.07644584380884288,-0.009802093646940105,-0.5080264910281034,0.06426610650080891,0.02036947895577148,-0.15200530314217972,0.013357519115189584,-0.07084150118034342,-0.07084150118034259,-0.02774937995322415,0.07644584380884288,0.19700429867837588,0.08376601688464523,-0.056461244084733415,0.23640267913025392,-0.1771030126999553,0.14395994534142165,-0.011403564230691249,0.10537772372613685,1.0,0.09188094094798635,0.19700429867837593,-0.030773664101082735,-0.2262742481427581
vibrato_depth,-0.1720433458384054,0.20284402294674594,0.07711305797892139,0.22116110722469937,-0.30641106120232964,-0.07481012479873252,0.1741779353677739,-0.24443861514442122,-0.024744443019328245,-0.024744443019327357,0.044146633238056586,0.20284402294674594,-0.09814830870937116,-0.44154395438647004,-0.2740091415187323,0.6709628042132025,0.1502360937921062,-0.28500033552258275,-0.11914388396109851,-0.3479893953820313,0.09188094094798635,1.0,-0.09814830870937118,0.10283052987977147,0.21527154520693145
reverb_tail_length_mean,0.9223312502840686,0.774617099538106,0.17816952683265933,0.06736247335306468,0.21348807408353007,0.1976622437769368,0.11171277520836081,0.23180505089211217,0.027195613600202794,0.027195613600203727,-0.01687814996290949,0.774617099538106,1.0,0.33050302988034125,0.17935975507300433,0.008262966408629245,0.05852430045609788,0.5027414147541888,0.06356753893992816,-0.492312261310554,0.19700429867837593,-0.09814830870937118,1.0,0.14168522822054797,-0.25475623426002064
dynamic_range,0.05818084351503657,0.17875847579323864,0.10433185988727754,-0.03198358669764493,0.5399415295856554,0.900970290520289,0.7938677442209532,0.6323280705390797,0.041614849855097225,0.04161484985509807,0.0209541089466548,0.17875847579323864,0.14168522822054797,0.37567210674980617,0.5651238824493918,-0.08058041206306255,-0.04364115062349104,-0.10580550621367558,-0.044835424854061924,-0.34360803658168027,-0.030773664101082735,0.10283052987977147,0.14168522822054797,1.0,-0.4755831125088648
peak_to_rms_ratio_mean,-0.2838840739596582,-0.003487616166634653,0.08552472126623856,0.2618749157218587,-0.8216452796331458,-0.651708766251275,-0.2691652339358628,-0.8105085909300793,-0.06897610350275088,-0.06897610350275198,0.035586571101224665,-0.003487616166634653,-0.25475623426002064,-0.772645967857694,-0.6882996323170909,0.0510529755533132,0.21525003000668158,-0.25815332636491145,-0.00568917586362023,-0.19993688683658775,-0.2262742481427581,0.21527154520693145,-0.25475623426002064,-0.4755831125088648,1.0
